Order_ID,Order_Date,Delivery_Date,Industry,Client_Name,Region,Salesperson,Product_Name,Product_Type,Quantity_MT,Unit_Price_INR,Unit_Cost_INR,Total_Revenue_INR,Total_Cost_INR,Gross_Profit_INR,Gross_Margin_Pct,Promised_Days,Actual_Days,Delay_Days,On_Time_Delivery,Quarter,Month
MRPL-1000,15-04-2023,14-05-2023,Non-Ferrous,Hindalco,Pune,Amit Sharma,Insulation Brick,Shaped,178,1900,1200,338200,213600,124600,36.84,16,29,13,No,Q2,Apr-23
MRPL-1001,28-01-2023,06-03-2023,Cement,ACC,Chennai,Vikram Patel,High Alumina Brick,Shaped,148,4200,2800,621600,414400,207200,33.33,20,37,17,No,Q1,Jan-23
MRPL-1002,07-01-2023,12-02-2023,Non-Ferrous,Sterlite,Bhopal,Amit Sharma,Gunning Mix,Unshaped,199,2600,1500,517400,298500,218900,42.31,19,36,17,No,Q1,Jan-23
MRPL-1003,25-01-2024,12-03-2024,Cement,Ambuja Cement,Chennai,Rajesh Kumar,Gunning Mix,Unshaped,29,2600,1500,75400,43500,31900,42.31,25,47,22,No,Q1,Jan-24
MRPL-1004,23-01-2024,07-03-2024,Cement,Shree Cement,Surat,Vikram Patel,Low Cement Castable,Unshaped,25,3800,2300,95000,57500,37500,39.47,23,44,21,No,Q1,Jan-24
MRPL-1005,22-08-2023,29-09-2023,Non-Ferrous,BALCO,Chennai,Rajesh Kumar,Plastic Refractory,Unshaped,79,2900,1750,229100,138250,90850,39.66,16,38,22,No,Q3,Aug-23
MRPL-1006,09-01-2024,09-02-2024,Iron & Steel,Jindal Steel,Pune,Sunita Rao,Magnesia Brick,Shaped,46,5500,3600,253000,165600,87400,34.55,25,31,6,No,Q1,Jan-24
MRPL-1007,25-06-2023,05-08-2023,Iron & Steel,JSW Steel,Export-Africa,Vikram Patel,Refractory Coating,Unshaped,141,2100,1200,296100,169200,126900,42.86,21,41,20,No,Q2,Jun-23
MRPL-1008,29-11-2023,10-01-2024,Cement,Dalmia Cement,Surat,Amit Sharma,Refractory Coating,Unshaped,26,2100,1200,54600,31200,23400,42.86,21,42,21,No,Q4,Nov-23
MRPL-1009,03-08-2024,28-08-2024,Iron & Steel,JSW Steel,Pune,Amit Sharma,Mortar,Unshaped,188,1600,950,300800,178600,122200,40.62,24,25,1,No,Q3,Aug-24
MRPL-1010,10-09-2023,20-10-2023,Non-Ferrous,Hindalco,Bhopal,Amit Sharma,Refractory Coating,Unshaped,195,2100,1200,409500,234000,175500,42.86,22,40,18,No,Q3,Sep-23
MRPL-1011,04-04-2023,11-05-2023,Power,NPCIL,Chennai,Vikram Patel,Ramming Mass,Unshaped,198,2200,1300,435600,257400,178200,40.91,15,37,22,No,Q2,Apr-23
MRPL-1012,26-01-2024,05-03-2024,Iron & Steel,RINL,Hyderabad,Rajesh Kumar,Insulation Brick,Shaped,157,1900,1200,298300,188400,109900,36.84,28,39,11,No,Q1,Jan-24
MRPL-1013,03-07-2024,13-08-2024,Iron & Steel,JSW Steel,Surat,Sunita Rao,Insulation Brick,Shaped,197,1900,1200,374300,236400,137900,36.84,22,41,19,No,Q3,Jul-24
MRPL-1014,27-09-2023,27-10-2023,Non-Ferrous,Hindalco,Hyderabad,Priya Singh,Silica Brick,Shaped,133,3100,2000,412300,266000,146300,35.48,19,30,11,No,Q3,Sep-23
MRPL-1015,18-01-2024,20-02-2024,Ceramic,Orient Bell,Raipur,Rajesh Kumar,Refractory Coating,Unshaped,200,2100,1200,420000,240000,180000,42.86,19,33,14,No,Q1,Jan-24
MRPL-1016,07-01-2024,28-01-2024,Fertilizer,Coromandel,Ahmedabad,Rajesh Kumar,Chrome Magnesia Brick,Shaped,83,6200,4100,514600,340300,174300,33.87,21,21,0,Yes,Q1,Jan-24
MRPL-1017,29-06-2024,02-08-2024,Iron & Steel,Jindal Steel,Surat,Neha Gupta,High Alumina Brick,Shaped,37,4200,2800,155400,103600,51800,33.33,18,34,16,No,Q2,Jun-24
MRPL-1018,05-08-2023,13-09-2023,Power,CESC,Raipur,Priya Singh,Silica Brick,Shaped,143,3100,2000,443300,286000,157300,35.48,20,39,19,No,Q3,Aug-23
MRPL-1019,11-09-2023,28-10-2023,Iron & Steel,RINL,Export-Africa,Priya Singh,Mortar,Unshaped,62,1600,950,99200,58900,40300,40.62,16,47,31,No,Q3,Sep-23
MRPL-1020,08-10-2024,29-10-2024,Iron & Steel,JSW Steel,Chennai,Rajesh Kumar,Chrome Magnesia Brick,Shaped,27,6200,4100,167400,110700,56700,33.87,21,21,0,Yes,Q4,Oct-24
MRPL-1021,12-05-2024,19-06-2024,Ceramic,Somany Ceramics,Raipur,Amit Sharma,Low Cement Castable,Unshaped,59,3800,2300,224200,135700,88500,39.47,18,38,20,No,Q2,May-24
MRPL-1022,14-07-2023,16-08-2023,Ceramic,H&R Johnson,Vizag,Deepak Joshi,Gunning Mix,Unshaped,29,2600,1500,75400,43500,31900,42.31,17,33,16,No,Q3,Jul-23
MRPL-1023,23-10-2024,14-11-2024,Cement,UltraTech Cement,Bhopal,Sunita Rao,Mortar,Unshaped,41,1600,950,65600,38950,26650,40.62,15,22,7,No,Q4,Oct-24
MRPL-1024,24-05-2023,15-06-2023,Non-Ferrous,Hindalco,Chennai,Vikram Patel,Fireclay Brick,Shaped,113,2800,1800,316400,203400,113000,35.71,19,22,3,No,Q2,May-23
MRPL-1025,29-10-2024,12-11-2024,Cement,Dalmia Cement,Vizag,Rajesh Kumar,Magnesia Brick,Shaped,197,5500,3600,1083500,709200,374300,34.55,14,14,0,Yes,Q4,Oct-24
MRPL-1026,15-02-2024,12-03-2024,Ceramic,H&R Johnson,Hyderabad,Priya Singh,Fireclay Brick,Shaped,20,2800,1800,56000,36000,20000,35.71,19,26,7,No,Q1,Feb-24
MRPL-1027,14-12-2024,31-01-2025,Iron & Steel,Jindal Steel,Export-Africa,Amit Sharma,Ramming Mass,Unshaped,264,2200,1300,580800,343200,237600,40.91,29,48,19,No,Q4,Dec-24
MRPL-1028,18-11-2023,18-12-2023,Iron & Steel,RINL,Jamshedpur,Rajesh Kumar,High Alumina Brick,Shaped,26,4200,2800,109200,72800,36400,33.33,15,30,15,No,Q4,Nov-23
MRPL-1029,12-03-2023,15-04-2023,Power,NTPC,Raipur,Neha Gupta,High Alumina Brick,Shaped,157,4200,2800,659400,439600,219800,33.33,16,34,18,No,Q1,Mar-23
MRPL-1030,31-08-2024,22-10-2024,Petrochemical,Reliance,Export-Africa,Amit Sharma,Low Cement Castable,Unshaped,15,3800,2300,57000,34500,22500,39.47,16,52,36,No,Q3,Aug-24
MRPL-1031,10-02-2024,13-03-2024,Non-Ferrous,Vedanta,Chennai,Amit Sharma,Ramming Mass,Unshaped,38,2200,1300,83600,49400,34200,40.91,23,32,9,No,Q1,Feb-24
MRPL-1032,13-04-2023,14-05-2023,Iron & Steel,RINL,Bhopal,Sanjay Tiwari,High Alumina Brick,Shaped,23,4200,2800,96600,64400,32200,33.33,20,31,11,No,Q2,Apr-23
MRPL-1033,11-06-2023,16-08-2023,Iron & Steel,Tata Steel,Export-Africa,Amit Sharma,Low Cement Castable,Unshaped,117,3800,2300,444600,269100,175500,39.47,23,66,43,No,Q2,Jun-23
MRPL-1034,20-04-2023,11-05-2023,Iron & Steel,Tata Steel,Delhi,Amit Sharma,Refractory Coating,Unshaped,195,2100,1200,409500,234000,175500,42.86,18,21,3,No,Q2,Apr-23
